id,type,description,expected,predicted,correct,shadow_it_type,risk_level,anomaly_score,response_ms
S1,Software,Web brute-force from work device,1,1,True,software,high,-0.73548,244.955
S2,Software,XSS web attack traffic,1,1,True,software,high,-0.75583,179.488
S3,Software,SQL injection attempt,1,1,True,software,high,-0.72578,183.53
S4,Hardware,Port scan from unknown device,1,1,True,hardware,high,-0.61934,199.648
S5,Hardware,DDoS flood from rogue device,1,1,True,hardware,high,-0.70674,176.823
S6,Mixed,Infiltration: unknown device using web exploit,1,1,True,mixed,high,-0.78016,184.251
